type,sub-type,key,note,zh_TW,en_US
Pages,Payment,SponsorOption-where-the-money-go,,贊助用途：您的贊助將直接用於支持該媒體的內容創作、報導開支和平台運營，以維持優質內容的持續輸出。,"Sponsorship usage: Your contribution will directly support the media’s content creation, reporting expenses, and platform operations."
Pages,Payment,SponsorOption-confirm-sponsor,,贊助確認：每筆贊助完成後無法取消或退還，請確認贊助金額無誤後再提交。,Confirmation: All sponsorships are final and cannot be canceled or refunded. Please double-check the amount before submitting.
Pages,Payment,SponsorOption-check-record,,紀錄查詢：您可以在個人帳戶的【讀選點數】頁面中查看已完成的贊助詳情，隨時掌握您的支付狀態。,"Record tracking: You can view your sponsorship history at any time on the ""READr points"" page in your account."
Pages,Payment,SponsorOption-reach-us,,若有任何疑問或遇到贊助問題，歡迎聯繫我們的客服團隊。我們將隨時為您提供協助。,"If you have any questions or issues, feel free to contact our support team. We’re here to help."
Pages,Payment,SponsorOption-mesh-point,,讀選點數,Mesh points
Pages,Publisher-List,PublisherListLayout-title,,媒體列表,Media list
Pages,Publisher-List,PublisherList-new-publisher,,新加入,Newly joined
Pages,Publisher-List,PublisherList-follower-count,,{{followerCount}}人追蹤,{{followerCount}} followers
Pages,Search,StoryAndCollection-all-collections,,所有集錦,All collections
Pages,Search,StoryAndCollection-all-stories,,所有新聞,All stories
Pages,Search,StoryAndCollection-cant-find-keyword-1,,找不到包含「,"No stories found for """
Pages,Search,StoryAndCollection-cant-find-keyword-2,,」的新聞，請換個關鍵字，再試一次。,""". Try a different keyword."
Pages,Search,MemberAndPublisher-member,,人物,Users
Pages,Search,MemberAndPublisher-publisher,,媒體,Media
Pages,Search,MemberAndPublisher-follower-count,,{{followerCount}} 人追蹤,{{followerCount}} followers
Pages,Search,CarouselWrapper-all-collection,,所有集錦,All collections
Pages,Search,CollectionCard-collection,,集錦,Collection
Pages,Setting,SettingLayout-title,,設定,Setting
Pages,Setting-Account-Deletion,ConfirmationLayout-title,,刪除帳號,Delete account
Pages,Setting-Account-Deletion,Confirmation-delete-confirm,,真的要刪除帳號嗎？,Are you sure you want to delete your account?
Pages,Setting-Account-Deletion,Confirmation-delete-warning,,提醒您：刪除帳號後，您的帳號資訊將永久刪除並無法復原。,Warning: This action is permanent. Your account data will be permanently deleted and cannot be recovered.
Pages,Setting-Account-Deletion,Confirmation-cancel,,那我再想想,Let me think again
Pages,Setting-Account-Deletion,Confirmation-confirm,,確認刪除,Confirm delete
Pages,Setting-Account-Deletion,Success-delete-success,,刪除帳號成功,Account successfully deleted
Pages,Setting-Account-Deletion,Success-thanks,,謝謝您使用我們的會員服務。如果您有需要，歡迎隨時回來 :),Thank you for using our membership service. You're always welcome back :)
Pages,Setting-Account-Deletion,Success-action,,回首頁,Return to homepage
Pages,Setting-Account-Deletion,Failure-delete-success,,喔不，出錯了...,"Oops, something went wrong..."
Pages,Setting-Account-Deletion,Failure-thanks,,刪除帳號失敗。請重新登入，或是聯繫客服信箱 readr@gmail.com 由專人為您服務。,Failed to delete account. Please log in again or contact support at readr@gmail.com
Pages,Story,ClientLayout-story-title,"想要確認這個「新聞」出現在哪裡？會決定要用哪個詞彙翻譯，因為全站現在報導/文章都會用 story/stories

位置",新聞,News
Pages,Story,ClientLayout-podcast-title,,Podcast,Podcast
Pages,Story,Article-linked-story,,本篇為外連文章,This story links to an external site
Pages,Story,Article-open-link,,閱讀原文,Read original article
Pages,Story,Article-update-time,,更新時間：{{time}},Updated at {{time}}
Pages,Story,PaymentWall-unlock-with-point-1,"這段話點數的數值會出現在「以」之後？例如「以 10 讀選點數解鎖文章」？這樣的話第三個字段我會選擇省略翻譯

位置 主要是 PaymentWall-unlock-with-point-2 會和前面的數字一起用藍色字體呈現，如果要省略的話應該把 Mesh points 放在 PaymentWall-unlock-with-point-3",以,Unlock article with
Pages,Story,PaymentWall-unlock-with-point-2,,讀選點數,
Pages,Story,PaymentWall-unlock-with-point-3,,解鎖文章,Mesh points
Pages,Story,PaymentWall-unlock-duration,,{{duration}} 天內可無限閱讀,Unlimited access for {{duration}} days
Pages,Story,PaymentWall-unlock-story,,解鎖文章,Unlock story
Pages,Story,PaymentWall-no-account-hint,,還沒有帳號？,Don’t have an account?
Pages,Story,PaymentWall-signup-for-point,,免費註冊會員拿讀選點數,Sign up for free to get Mesh points
Pages,Story,RelatedStories-title,,相關報導,Related stories
Pages,Story,Comment-title,,留言區,Comments section
Components,LoginButton,login,,登入,Log in
Components,StoryMeta,payall,,付費文章,Paid story
Components,StoryMeta,full-screen-ad,,蓋板廣告,Full-screen ad
Components,StoryMeta,podcast,,Podcast,Podcast
Components,StoryPickButton,pick,,精選,Pick
Components,StoryPickButton,already-picked,,已精選,Picked
Components,CollectionPickButton,pick,,精選,Pick
Components,CollectionPickButton,already-picked,,已精選,Picked
Components,PublisherDonateButton,donate,,贊助,Sponsor
Components,ObjectivePickCount,no-picks,,尚無人精選,No picks yet
Components,ObjectivePickCount,pick-under-10000,,人精選,Picks
Components,ObjectivePickCount,pick-over-10000,"超過萬人的時候，例如 1.2萬人，英文的數法會有點不同，如果我希望顯示 「12K Picks」的話這邊的英文字段，需要寫入這個K嗎？

需要，最後會是這樣呈現： 12 萬人精選 | 12 K Picks",萬人精選,K Picks
Components,ObjectiveCommentCount,no-comment,,尚無人留言,No comments yet
Components,ObjectiveCommentCount,comment-under-10000,,則留言,comments
Components,ObjectiveCommentCount,comment-over-10000,同上疑問,萬則留言,K Picks
Components,FollowButton,follow,,追蹤,Follow
Components,FollowButton,following,,追蹤中,Following
Components,FollowPublisherButton,follow,,追蹤,Follow
Components,FollowPublisherButton,following,,追蹤中,Following
Components,StoryMoreActionButton,donate,,贊助,Sponsor
Components,StoryMoreActionButton,add-bookmark,,加入書籤,Add to bookmarks
Components,StoryMoreActionButton,remove-bookmark,,移除書籤,Remove bookmark
Components,StoryMoreActionButton,add-collection,,加入集錦,Add to collection
Components,StoryMoreActionButton,unfollow,,取消追蹤,Unfollow
Components,StoryMoreActionButton,copy-link,,複製連結,Copy link
Components,StoryMoreActionButton,share,,分享,Share
Components,DisplayTimeFromNow,mins-ago,,分鐘前,minutes ago
Components,DisplayTimeFromNow,hours-ago,,小時前,hours ago
Components,DisplayTimeFromNow,days-ago,,天前,days ago
Components,DisplayExpireTimeFromNow,one,,一,one
Components,DisplayExpireTimeFromNow,two,,二,two
Components,DisplayExpireTimeFromNow,three,,三,three
Components,DisplayExpireTimeFromNow,day-unit,,天,day
Components,DisplayDateWithWeekday,sunday,,日,Sunday
Components,DisplayDateWithWeekday,monday,,一,Monday
Components,DisplayDateWithWeekday,tuesday,,二,Tuesday
Components,DisplayDateWithWeekday,wednesday,,三,Wednesday
Components,DisplayDateWithWeekday,thursday,,四,Thursday
Components,DisplayDateWithWeekday,friday,,五,Friday
Components,DisplayDateWithWeekday,saturday,,六,Saturday
Components,DisplayDateWithWeekday,time-template,,{{month}}月{{date}}日({{dayString}}),{{month}}/{{date}} ({{dayString}})
Components,NotificationDropDown,h2,,通知,Notifications
Components,NotificationDropDown,announcement-title,,系統維修公告,System maintenance notice
Components,NotificationDropDown,new-announcement-title,,新通知,New notifications
Components,NotificationDropDown,no-new-announcement,,目前沒有新通知...,No new notifications...
Components,NotificationDropDown,prev-notification,,之前的通知,Previous notifications
Components,NotificationDropDown,notifier-follow-single,,開始追蹤你,started following you
Components,NotificationDropDown,notifier-follow-plural,,都開始追蹤你,all started following you
Components,NotificationDropDown,notifier-pick-single,,精選了你的集錦,picked your collection
Components,NotificationDropDown,notifier-pick-plural,,都精選了你的集錦,all picked your collection
Components,NotificationDropDown,notifier-collection-comment-single-1,,在你的集錦,commented on your collection
Components,NotificationDropDown,notifier-collection-comment-single-2,"因為英文語法上這段字應該不會翻譯出來，所以我需要知道這段字串前面是對應哪個字串？

完整句子會是
在你的集錦 「 集錦名稱 」下留言",下留言,
Components,NotificationDropDown,notifier-collection-comment-plural-1,,都在你的集錦,commented on your collection
Components,NotificationDropDown,notifier-collection-comment-plural-2,"因為英文語法上這段字應該不會翻譯出來，所以我需要知道這段字串前面是對應哪個字串？

完整句子會是
都在你的集錦 「 集錦名稱 」下留言",下留言,
Components,NotificationDropDown,notifier-story-comment-single-1,,也在,also commented on the story
Components,NotificationDropDown,notifier-story-comment-single-2,"因為英文語法上這段字應該不會翻譯出來，所以我需要知道這段字串前面是對應哪個字串？

完整句子會是
也在「 文章名稱 」下留言",下留言,
Components,NotificationDropDown,notifier-story-comment-plural-1,,也在,also commented on the story
Components,NotificationDropDown,notifier-story-comment-plural-2,"因為英文語法上這段字應該不會翻譯出來，所以我需要知道這段字串前面是對應哪個字串？

完整句子會是
也在「 文章名稱 」下留言",下留言,
Components,NotificationDropDown,notifier-comment-like-single,,喜歡你的留言,liked your comment
Components,NotificationDropDown,notifier-comment-like-plural,,都喜歡你的留言,all liked your comment
Components,NotificationDropDown,notifier-unknown,,Unknown Notification,Unknown notification
Components,NotificationDropDown,notifier-sponsor-success-1,,你已成功贊助,You’ve successfully sponsored
Components,NotificationDropDown,notifier-sponsor-success-2,,讀選點數,Mesh points
Components,NotificationDropDown,notifier-collection-created,,建立了新的集錦,created a new collection
Components,NotificationDropDown,notifier-unlock-story,,你已成功解鎖,You’ve successfully unlocked
Components,NotificationDropDown,notifier-receive-airdrop,,你已收到 {{depositVolume}} 讀選點數的空投,You received an airdrop of {{depositVolume}} Mesh points
Components,NotificationDropDown,expire-description-1,,這篇文章的閱讀期限只剩,This article will expire in
Components,NotificationDropDown,expire-description-2,"想這知道這文案出現在在哪裡

完整句子是

這篇文章的閱讀期限只剩n 天哦：「文章名稱」
主要用來連接後面文章名稱",哦：,:
Components,NotificationDropDown,two-names-and,,及,and
Components,NotificationDropDown,three-names-above-1,,、,","
Components,NotificationDropDown,three-names-above-2,,及其他,and other
Components,NotificationDropDown,three-names-above-3,,人,people
Components,NotificationDropDown,announcement-title-maintain,,系統維修公告,System maintenance notice
Components,NotificationDropDown,announcement-title-new-media,,新媒體上架,New media available
Components,NotificationDropDown,announcement-title-features,,新功能上線,New feature released
Components,ErrorPage,404,,找不到這頁的資料...,Page not found...
Components,ErrorPage,500,,看來有哪裡出錯了...,Something went wrong...
Components,ErrorPage,retry,,重新嘗試,Try again
Components,LogInCard,login-mail-has-sent,,我們已將錢包登入連結寄到 {{email}}，請點擊信件中的連結。,We’ve sent the wallet login link to {{email}}. Please check your inbox.
Components,LogInCard,login-again,,重新登入錢包,Log in to wallet again
Components,LogInCard,resend-login-mail,,發送登入連結,Resend login link
Components,LogInCard,what-is-mesh-point,,讀選點數是什麼？,What are Mesh points?
Components,LogInCard,learn-more,,了解更多,Learn more
Components,TransactionOngoing,transaction-on-going-1,,交易進行中,Transaction in progress
Components,TransactionOngoing,transaction-on-going-2,,請稍候，感謝您的耐心,"Please wait, and thank you for your patience"
Components,ShareSheet,share,,分享,Share
Components,CommentBlocks,comment-placeholder,,有什麼要補充的嗎...,Got something to add?
Components,CommentBlocks,comment-publish,,發布,Publish
Components,CommentBlocks,comment-poular-comment,,熱門留言,Popular comments
Components,CommentBlocks,comment-all-comments,,所有留言,All comments
Components,CommentBlocks,comment-delete-comment,,刪除留言,Delete comment
Components,CommentBlocks,comment-cancel,,取消,Cancel
Components,CommentBlocks,comment-confirm-delete,,確認要刪除留言？,Are you sure you want to delete this comment?
Components,CommentBlocks,comment-pick-will-stay,,系統仍會保留您的精選記錄,Your pick record will still be saved
Components,CommentBlocks,comment-return-to-comment,,返回留言,Return to comment
Components,CommentBlocks,comment-report-success,,檢舉成功,Report submitted
Components,CommentBlocks,comment-report-success-detail,,我們已收到您的檢舉，感謝提供資訊,We've received your report. Thank you for the information.
Components,DesktopCommentModal,comment-block,,留言區,Comments section
Components,MobileCommentEditDrawer,report,,檢舉留言,Report comment
Components,MobileCommentEditDrawer,edit,,編輯留言,Edit comment
Components,MobileCommentEditDrawer,delete,,刪除留言,Delete comment
Components,MobileCommentEditor,save,,儲存,Save
Components,MobileCommentEditor,submit,,送出,Submit
Components,MobileCommentEditor,cancel,,取消編輯,Cancel edit
Components,MobileCommentFooter,placeholder,,在這裡輸入留言...,Type your comment here...
Components,MobileCommentFooter,publish,,發布,Publish
Components,MobileCommentModalContent,poupular-comments,,熱門留言,Popular comments
Components,MobileCommentModalContent,all-comments,,所有留言,All comments
Components,MobileCommentModalContent,leave,,離開,Leave
Components,MobileCommentModalContent,stay,,繼續輸入,Keep typing
Components,MobileCommentModalContent,leave-question,,離開留言區？,Leave the comment section?
Components,MobileCommentModalContent,leave-detail,,系統將不會儲存您剛剛輸入的內容,Your unsaved comment will not be saved
Components,MobileCommentModalContent,delete,,刪除留言,Delete comment
Components,MobileCommentModalContent,cancel,,取消,Cancel
Components,MobileCommentModalContent,delete-question,,確認要刪除留言？,Are you sure you want to delete this comment?
Components,MobileCommentModalContent,delete-detail,,系統仍會保留您的精選記錄,Your pick record will still be saved
Components,MobileCommentModalContent,close,,返回留言,Return to comment
Components,MobileCommentModalContent,report-success,,檢舉成功,Report submitted
Components,MobileCommentModalContent,report-success-detail,,我們已收到您的檢舉，感謝提供資訊,We've received your report. Thank you for the information.
Components,CommentBlockItem,member,,使用者,User
Components,CommentBlockItem,edit-comment,,·編輯留言,·edit comment
Components,CommentBlock,no-comment,,還沒有人留言，快來搶頭香！,"No comments yet, be the first to share your thoughts!"
Components,CommentEditor,cancel,,取消,Cancel
Components,CommentEditor,save,,儲存,Save
Components,DropdownMenu,report,,檢舉留言,Report comment
Components,DropdownMenu,edit,,編輯留言,Edit comment
Components,DropdownMenu,delete,,刪除留言,Delete comment
Components,AddStoryToCollection,no-collection,,你目前還沒有任何集錦...,You don’t have any collections yet...
Components,AddStoryToCollection,story-alredy-added,,你之前已將這篇新聞加入你所有的集錦囉,You’ve already added this article to all your collections
Components,AddStoryToCollection,added-detail-1,,你之前已將這篇新聞加入,You’ve already added this article to
Components,AddStoryToCollection,added-detail-2-plural,,等{{length}}個集錦囉,and {{length}} other collections
Components,AddStoryToCollection,added-detail-2-single,,集錦囉,collection
Components,AddStoryToCollection,add-to-collection,,加入集錦,Add to collection
Components,AddStoryToCollection,create-new-collection,,建立新集錦,Create new collection
Components,DesktopSearchBar,history,,搜尋歷史,Search history
Components,PickModal,publish,,發布,Publish
Components,PickModal,pick,,直接加入精選,Pick this article
Components,PickModal,comment-for-pick-story,,留言分享你為什麼精選這篇文章...,Share why you picked this article...
Components,PickModal,comment-for-pick-collection,,留言分享你為什麼精選這個集錦...,Share why you picked this collection...
Components,PickModal,add-pick,,加入精選,Add to picks
Components,PickModal,confirm-leave,,您輸入的資訊尚未儲存，是否離開此頁面?,Your changes haven’t been saved. Leave this page?
Components,PickModal,stay,,留在此頁面,Stay on this page
Components,PickModal,leave,,離開,Leave
Components,PickModal,remove-pick-story,,移除精選文章，將會一併移除您的留言,Removing this pick will also delete your commen
Components,PickModal,remove-pick-collection,,移除精選集錦，將會一併移除您的留言,Removing this collection pick will also delete your comment
Components,PickModal,confirm-delete,,確認要移除精選？,Are you sure you want to remove this pick?
Components,PickModal,delete,,移除,Remove
Components,PickModal,cancel,,取消,Cancel
Components,PickersModal,picker,,精選者,Picker
Others,punctuation,corner-quote-start,,「,“
Others,punctuation,corner-quote-end,,」,”
Others,categories,internation,,國際,International
Others,categories,politics,,政治,Politics
Others,categories,society,,社會,Society
Others,categories,finance,,財經,Finance
Others,categories,technology,,科技,Technology
Others,categories,health,,醫療健康,Health
Others,categories,sport,,體育,Sports
Others,categories,art,,藝文,Arts
Others,categories,entertainment,,娛樂,Entertainment
Others,categories,life,,生活,Lifestyle
Others,categories,education,,教育,Education
Others,categories,environment,,環境,Environment
Others,categories,test01,,測試空狀態,Test empty state
Others,categories,podcast,,Podcast,Podcast
Others,alchemy,login-description,,您尚未新增/連結錢包。點擊下方按鈕，我們會將錢包的啟用連結寄送至您的 Email。,You haven’t added or linked a wallet yet. Click the button below and we’ll send the activation link to your email.
Others,alchemy,signup-description,,新增/連結錢包即可完成註冊。點擊下方按鈕立刻建立錢包！,Add or link a wallet to complete registration. Click below to create your wallet now!
Others,alchemy,login-before-transaction-description,,為維護交易安全，請重新登入錢包以繼續,"For transaction security, please log in to your wallet again to continue."
Others,setting,block-list,,封鎖名單,Block list
Others,setting,contact-us,,聯絡我們,Contact us
Others,setting,about,,關於,About
Others,setting,logout,,登出,Log out
Others,setting,delete-account,,刪除帳號,Delete account
Others,setting,language,,語言,Language
Others,navs,homepage,,首頁,Home
Others,navs,social,,社群,Community
Others,navs,media,,最新,Media
Others,navs,profile,,個人檔案,Profile
Others,navs,point,,讀選點數,Mesh points
Others,navs,bookmark,,書籤,Bookmarks
Others,navs,setting,,設定,Settings
Others,navs,media-backstage-point,,點數兌換,Redeem points
Others,navs,media-backstage-report,,收益報表,Earning report
Others,navs,logout,,登出,Log out
Others,footers,about,,關於我們,About us'
Others,footers,contact,,聯絡我們,Contact us
Others,footers,privacy,,隱私政策,Privacy policy
Others,footers,terms,,服務條款,Terms of service
Others,footers,company-name,,精鏡傳媒股份有限公司,Mirror Media Inc.
Others,footers,company-address,,114 台北市內湖區堤頂大道一段 365 號 7 樓,"7F, No. 365, Section 1, Tiding Blvd., Neihu District, Taipei 114, Taiwan"
Others,footers,company-email,,readr@readr.tw,readr@readr.tw
Others,footers,all-right-reserved,,All Rights Reserved,All Rights Reserved
Others,meta,site-title,,READr Mesh 讀選,READr Mesh 讀選
Others,meta,site-description,,在READr Mesh 讀選上瀏覽多元的新聞媒體內容。盡情精選、分享和製作新聞集錦，將你認為有意義的新聞資訊傳播出去。,"Explore diverse media content on READr Mesh. Pick, share, and create collections of meaningful stories worth spreading."
Others,meta,site-title-collection,,集錦 | {{collectionTitle}},Collection | {{collectionTitle}}
Others,meta,site-title-collection-fallback,,集錦,	Collection
Others,meta,site-title-profile-member,,{{memberName}} | READr Mesh 讀選,{{memberName}} | READr Mesh 讀選
Others,meta,site-description-profile-member,,查看 {{memberName}} 的個人檔案。追蹤他們精選的文章和製作的集錦。,View {{memberName}}’s profile. Follow their picked articles and collections.
Others,meta,site-description-profile-member-fallback,,查看用戶的個人檔案。追蹤他們精選的文章和製作的集錦。,View user profile. Follow their picked articles and collections.
Others,meta,site-title-profile-publisher,,{{publisherName}} | READr Mesh 讀選,{{publisherName}} | READr Mesh 讀選
Others,meta,site-description-profile-publisher,,查看 {{publisherName}} 的媒體檔案。追蹤他們的媒體報導。,View {{publisherName}}’s media profile. Follow their latest articles.
Others,meta,site-description-profile-publisher-fallback,,查看媒體檔案。追蹤他們的媒體報導。,View media profile. Follow their latest articles.
Others,meta,site-title-story,,{{storyTitle}} | READr Mesh 讀選,{{storyTitle}} | READr Mesh 讀選
Others,meta,site-title-login,,登入 | READr Mesh 讀選,Log in | READr Mesh 讀選
Others,meta,site-description-login,,登入您的讀選帳號，開始精選你感興趣的新聞文章。,Log in to your READr account and start picking the stories you care about.
Others,meta,site-title-media,,最新 | READr Mesh 讀選,Media | READr Mesh 讀選
Others,meta,site-description-media,,追蹤你感興趣的媒體，查看他們最新發布的各類文章。,Follow media you care about and browse their latest stories.
Others,meta,site-title-social,,社群 | READr Mesh 讀選,Social | READr Mesh 讀選
Others,meta,site-description-social,,追蹤你感興趣的用戶，瀏覽他們精選的文章和集錦。,Follow users and explore their picked articles and collections.
Others,toast,follow-category-failed,,新增類別失敗，請重新嘗試,Failed to add category. Please try again.
Others,toast,unfollow-category-failed,,刪除類別失敗，請重新嘗試,Failed to remove category. Please try again.
Others,toast,more-action-error,,有點怪怪的，請稍後再試,Something went wrong. Please try again later.
Others,toast,add-comment-failed,,發布留言失敗，請重新嘗試,Failed to post comment. Please try again.
Others,toast,edit-comment-failed,,編輯留言失敗，請重新嘗試,Failed to edit comment. Please try again.
Others,toast,like-comment-failed,,按讚留言失敗，請重新嘗試,Failed to like comment. Please try again.
Others,toast,unlike-comment-failed,,取消按讚留言失敗，請重新嘗試,	Failed to unlike comment. Please try again.
Others,toast,delete-comment-failed,,刪除留言失敗，請重新嘗試,Failed to delete comment. Please try again.
Others,toast,follow-member-failed,,追蹤失敗，請重新嘗試,Failed to follow. Please try again
Others,toast,unfollow-member-failed,,取消追蹤失敗，請重新嘗試,Failed to unfollow. Please try again.
Others,toast,pick-story-failed,,加入精選失敗，請重新嘗試,Failed to add to picks. Please try again.
Others,toast,delete-pick-failed,,移除精選失敗，請重新嘗試,Failed to remove pick. Please try again.
Others,toast,add-bookmark-failed,,加入書籤失敗，請重新嘗試,Failed to add bookmark. Please try again.
Others,toast,delete-bookmark-failed,,刪除書籤失敗，請重新嘗試,Failed to remove bookmark. Please try again.
Others,toast,copy-story-link-success,,已複製連結,Link copied
Others,toast,copy-invitation-code,,已複製邀請碼,Invite code copied
Others,toast,unlock-story-success,,已成功解鎖,Successfully unlocked
Others,toast,pay-failed-insufficient,,讀選點數餘額不足,Not enough Mesh points
Others,toast,pay-failed-unknown,,支付失敗，請重新嘗試,Payment failed. Please try again.
Others,toast,block-member-success,,已封鎖,Blocked
Others,toast,unblock-member-success,,已取消封鎖,Unblocked
Others,toast,block-member-failed,,封鎖失敗，請重新嘗試,Failed to block user. Please try again.
Others,toast,unblock-member-failed,,取消封鎖失敗，請重新嘗試,Failed to unblock user. Please try again.
Others,toast,add-story-to-collection-success,,成功加入集錦,Successfully added to collection
Others,toast,add-story-to-collection-failed,,加入集錦失敗，請重新嘗試,Failed to add to collection. Please try again.
Others,toast,create-collection-failed,,建立集錦失敗，請重新嘗試,Failed to create collection. Please try again.
Others,toast,delete-collection-success,,成功刪除集錦,Collection successfully deleted
Others,toast,delete-collection-failed,,刪除集錦失敗，請重新嘗試,Failed to delete collection. Please try again.
Others,toast,update-profile-failed,,編輯個人檔案失敗，請重新嘗試,Failed to update profile. Please try again.
Others,toast,add-bookmark-success,,已加入書籤,Bookmark added
Others,toast,remove-bookmark-success,,已移除書籤,Bookmark removed
Others,toast,edit-collection-failed,,編輯集錦失敗，請重新嘗試,Failed to edit collection. Please try again.
